"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 23 02:55:01 UTC 2024","Sat Mar 23 02:55:01 UTC 2024","369","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Mar 23 03:32:27 UTC 2024","Sat Mar 23 03:32:29 UTC 2024","1661","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sat Mar 23 02:37:02 UTC 2024","Sat Mar 23 02:37:08 UTC 2024","6587","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Mar 23 03:08:18 UTC 2024","Sat Mar 23 03:08:35 UTC 2024","16734","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sat Mar 23 02:54:31 UTC 2024","Sat Mar 23 02:54:36 UTC 2024","4307","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sat Mar 23 02:56:47 UTC 2024","Sat Mar 23 02:57:58 UTC 2024","71220","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat Mar 23 02:45:35 UTC 2024","Sat Mar 23 02:45:43 UTC 2024","7601","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Mar 23 02:31:02 UTC 2024","Sat Mar 23 02:31:12 UTC 2024","10799","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sat Mar 23 02:30:46 UTC 2024","Sat Mar 23 02:31:02 UTC 2024","15894","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sat Mar 23 03:10:44 UTC 2024","Sat Mar 23 03:10:45 UTC 2024","1550","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sat Mar 23 02:51:54 UTC 2024","Sat Mar 23 02:52:15 UTC 2024","20653","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sat Mar 23 03:10:24 UTC 2024","Sat Mar 23 03:10:38 UTC 2024","13811","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
